製品名,プラットフォーム,更新日,ダウンロード
Azure Advanced Threat Protection,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Advanced_Threat_Protection_VPATJ01070.xlsx"
Azure Advisor,Azure,2025/10/03,"https://vpatj.azurewebsites.net/file/Azure_Advisor_VPATJ01080.xlsx"
Azure AI Content Understanding Studio,Web,2026/03/16,"https://vpatj.azurewebsites.net/file/Azure_AI_Content_Understanding_Studio_Web_VPATJ01081.xlsx"
Azure AI Studio,Web,2025/05/08,"https://vpatj.azurewebsites.net/file/Azure_AI_Studio_Web_VPATJ01090.xlsx"
Azure AI Translator | Custom Translator,Web,2026/01/22,"https://vpatj.azurewebsites.net/file/Azure_AI_Translator_Custom_Translator_Web_VPATJ01100.xlsx"
Azure AI Vision Face Liveness,"iOS, Android, Web",2026/03/02,"https://vpatj.azurewebsites.net/file/Azure_AI_Vision_Face_Liveness_iOS_Android_Web_VPATJ01101.xlsx"
Azure Alerts,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Alerts_Web_VPATJ01110.xlsx"
Azure Alerts Management,Azure,2025/10/13,"https://vpatj.azurewebsites.net/file/Azure_Alerts_Management_VPATJ01120.xlsx"
Azure Analysis Services,Azure,2025/10/14,"https://vpatj.azurewebsites.net/file/Azure_Analysis_Services_VPATJ01130.xlsx"
Azure API Center,Web,2025/08/19,"https://vpatj.azurewebsites.net/file/Azure_API_Center_Web_VPATJ01140.xlsx"
Azure App Configuration,Azure,2026/01/12,"https://vpatj.azurewebsites.net/file/Azure_App_Configuration_VPATJ01151.xlsx"
Azure App Modernization,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_App_Modernization_VPATJ01160.xlsx"
Azure Arc and VMware,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Arc_and_VMware_Web_VPATJ01170.xlsx"
Azure Arc Setup,Windows Feature,2025/12/24,"https://vpatj.azurewebsites.net/file/Azure_Arc_Setup_Windows_Feature_VPATJ01180.xlsx"
Azure Artifacts,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Artifacts_VPATJ01190.xlsx"
Azure Artifacts,Web,2025/05/19,"https://vpatj.azurewebsites.net/file/Azure_Artifacts_Web_VPATJ01200.xlsx"
Azure Automanage,Azure,2025/08/04,"https://vpatj.azurewebsites.net/file/Azure_Automanage_VPATJ01210.xlsx"
Azure Automation,Azure,2026/06/03,"https://vpatj.azurewebsites.net/file/Azure_Automation_VPATJ01220.xlsx"
Azure Batch,Web,2025/08/29,"https://vpatj.azurewebsites.net/file/Azure_Batch_Web_VPATJ01230.xlsx"
Azure Batch AI,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Batch_AI_Web_VPATJ01240.xlsx"
Azure Batch Explorer,"Azure, Mac, Win32",2026/04/22,"https://vpatj.azurewebsites.net/file/Azure_Batch_Explorer_Azure_Mac_Win32_VPATJ01250.xlsx"
Azure BDM - Innovate,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_BDM_-_Innovate_Web_VPATJ01260.xlsx"
Azure BillingExtension,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_BillingExtension_Web_VPATJ01270.xlsx"
Azure Blueprints,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Blueprints_Win32_VPATJ01280.xlsx"
Azure BMX (Billing & Management Experience),Azure,2026/06/08,"https://vpatj.azurewebsites.net/file/Azure_BMX_Billing_&_Management_Experience_VPATJ01290.xlsx"
Azure Bot Service,"Web, Azure",2025/03/21,"https://vpatj.azurewebsites.net/file/Azure_Bot_Service_Web_Azure_VPATJ01291.xlsx"
Azure Bot Service,Azure,2026/03/17,"https://vpatj.azurewebsites.net/file/Azure_Bot_Service_VPATJ01300.xlsx"
Azure Cache for Redis,Azure,2024/10/22,"https://vpatj.azurewebsites.net/file/Azure_Cache_for_Redis_VPATJ01320.xlsx"
