製品名,プラットフォーム,更新日,ダウンロード
MBS - PSBC,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/MBS_-_PSBC_Web_VPATJ08040.xlsx"
MDAG-EDGE,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/MDAG-EDGE_Win32_VPATJ08050.xlsx"
MDEASM,Azure,2026/06/11,"https://vpatj.azurewebsites.net/file/MDEASM_Azure_VPATJ08051.xlsx"
MDoS,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/MDoS_Win32_VPATJ08060.xlsx"
MDS (Master Data Services),Web,2025/08/22,"https://vpatj.azurewebsites.net/file/MDS_Master_Data_Services_Web_VPATJ08070.xlsx"
Me Control Service,"Web, Win32, iOS",2025/10/17,"https://vpatj.azurewebsites.net/file/Me_Control_Service_Web_Win32_iOS_VPATJ08071.xlsx"
ME Marketing Events Management,Azure,2025/05/20,"https://vpatj.azurewebsites.net/file/ME_Marketing_Events_Management_Azure_VPATJ08080.xlsx"
Media Creation Tool,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Media_Creation_Tool_Win32_VPATJ08090.xlsx"
Media Partner Portal,Web,2024/09/23,"https://vpatj.azurewebsites.net/file/Media_Partner_Portal_Web_VPATJ08100.xlsx"
Meeting Prep for Finance,"Web,Win32",2024/10/29,"https://vpatj.azurewebsites.net/file/Meeting_Prep_for_Finance_Web_Win32_VPATJ08101.xlsx"
Meliora Deal Management,Web,2026/04/24,"https://vpatj.azurewebsites.net/file/Meliora_Deal_Management_Web_VPATJ08110.xlsx"
Membership Workspace Experiences,Web,2025/12/23,"https://vpatj.azurewebsites.net/file/Membership_Workspace_Experiences_Web_VPATJ08120.xlsx"
Mesh Avatars App,Win32,2024/10/24,"https://vpatj.azurewebsites.net/file/Mesh_Avatars_App_Win32_VPATJ08121.xlsx"
Mesh Portal,Web,2024/10/25,"https://vpatj.azurewebsites.net/file/Mesh_Portal_Web_VPATJ08122.xlsx"
Message Header Analyzer,Web,2024/07/19,"https://vpatj.azurewebsites.net/file/Message_Header_Analyzer_Web_VPATJ08130.xlsx"
MetaOS Android HubSDK,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/MetaOS_Android_HubSDK_VPATJ08140.xlsx"
MetaOS iOS HubSDK,iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/MetaOS_iOS_HubSDK_VPATJ08150.xlsx"
Metered Billing Report,Web,2026/02/25,"https://vpatj.azurewebsites.net/file/Metered_Billing_Report_Web_VPATJ08151.xlsx"
Microsoft 365 Adoption,Web,2025/11/19,"https://vpatj.azurewebsites.net/file/Microsoft_365_Adoption_Web_VPATJ08160.xlsx"
Microsoft 365 Agents Toolkit,Win32,2026/04/22,"https://vpatj.azurewebsites.net/file/Microsoft_365_Agents_Toolkit_Win32_VPATJ08161.xlsx"
Microsoft 365 Apps Admin Center,Web,2024/10/09,"https://vpatj.azurewebsites.net/file/Microsoft_365_Apps_Admin_Center_Web_VPATJ08170.xlsx"
Microsoft 365 Connectivity Health Status Map,WebApp,2025/10/22,"https://vpatj.azurewebsites.net/file/Microsoft_365_Connectivity_Health_Status_Map_WebApp_VPATJ08180.xlsx"
Microsoft 365 Copilot for Finance,"Win32, Web",2026/01/13,"https://vpatj.azurewebsites.net/file/Microsoft_365_Copilot_for_Finance_Win32_Web_VPATJ08181.xlsx"
Microsoft 365 Copilot,Android,2025/07/03,"https://vpatj.azurewebsites.net/file/Microsoft_365_Copilot_Android_VPATJ08182.xlsx"
Microsoft 365 Copilot,Cross-Plat,2025/07/02,"https://vpatj.azurewebsites.net/file/Microsoft_365_Copilot_Cross-Plat_VPATJ08183.xlsx"
Microsoft 365 Copilot,iOS,2025/07/03,"https://vpatj.azurewebsites.net/file/Microsoft_365_Copilot_iOS_VPATJ08184.xlsx"
Microsoft 365 Copilot Create,Cross-Plat,2026/05/29,"https://vpatj.azurewebsites.net/file/Microsoft_365_Copilot_Create_Cross-Plat_VPATJ08185.xlsx"
Microsoft 365 Deployment Guides and Setup Wizards,Web,2024/10/23,"https://vpatj.azurewebsites.net/file/Microsoft_365_Deployment_Guides_and_Setup_Wizards_Web_VPATJ08190.xlsx"
Microsoft 365 Insider Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_365_Insider_Website_VPATJ08200.xlsx"
Microsoft Accessory Center,Universal,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Accessory_Center_Universal_VPATJ08210.xlsx"
Microsoft Account (MSA),Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Account_MSA_Win32_VPATJ08230.xlsx"
Microsoft Account (MSA),"iOS, Android, Win32, Web",2025/10/17,"https://vpatj.azurewebsites.net/file/Microsoft_Account_MSA_iOS_Android_Win32_Web_VPATJ08231.xlsx"
Microsoft Adaptive Accessories,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Adaptive_Accessories_Hardware_VPATJ08250.xlsx"
Microsoft Ads Editor,Win32,2025/12/16,"https://vpatj.azurewebsites.net/file/Microsoft_Ads_Editor_Win32_VPATJ08251.xlsx"
Microsoft Assessment and Planning Toolkit (Solution Assessments),Web,2024/07/19,"https://vpatj.azurewebsites.net/file/Microsoft_Assessment_and_Planning_Toolkit_Solution_Assessments_Web_VPATJ08260.xlsx"
Microsoft Audio Dock,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Audio_Dock_Hardware_VPATJ08270.xlsx"
Microsoft Authenticator,"iOS, Android",2025/10/17,"https://vpatj.azurewebsites.net/file/Microsoft_Authenticator_iOS_Android_VPATJ08271.xlsx"
Microsoft Autofill,Chrome Extension,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Autofill_Chrome_Extension_VPATJ08290.xlsx"
Microsoft Autofill,Android,2024/09/25,"https://vpatj.azurewebsites.net/file/Microsoft_Autofill_Android_VPATJ08300.xlsx"
Microsoft Autofill,iOS,2024/10/10,"https://vpatj.azurewebsites.net/file/Microsoft_Autofill_iOS_VPATJ08310.xlsx"
Microsoft Autofill,Web,2024/10/10,"https://vpatj.azurewebsites.net/file/Microsoft_Autofill_Web_VPATJ08320.xlsx"
Microsoft Autofill AMC,Web,2024/10/10,"https://vpatj.azurewebsites.net/file/Microsoft_Autofill_AMC_Web_VPATJ08330.xlsx"
Microsoft Azure Attestation,Azure,2025/10/23,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Attestation_VPATJ08340.xlsx"
Microsoft Azure IoT Device Catalog,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_IoT_Device_Catalog_Web_VPATJ08350.xlsx"
Microsoft Azure Peering Service,Azure,2026/01/13,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Peering_Service_VPATJ08360.xlsx"
Microsoft Azure Sentinel,Azure,2024/11/06,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Sentinel_VPATJ08370.xlsx"
Microsoft Azure Storage Explorer,"Windows, macOS",2025/08/28,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Storage_Explorer_Windows_macOS_VPATJ08381.xlsx"
Microsoft Azure Storage Explorer 1.16.0,"Windows, Mac, Linux",2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Storage_Explorer_1.16.0_Windows_Mac_Linux_VPATJ08390.xlsx"
Microsoft Azure Storage Explorer 1.19.1,"Windows, Mac, Linux",2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Storage_Explorer_1.19.1_Windows_Mac_Linux_VPATJ08400.xlsx"
Microsoft Azure Storage Explorer 1.21.3,"Windows, Mac, Linux",2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Azure_Storage_Explorer_1.21.3_Windows_Mac_Linux_VPATJ08410.xlsx"
Microsoft Basic Optical Mouse,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Basic_Optical_Mouse_Hardware_VPATJ08420.xlsx"
Microsoft Bing Search (iOS_Android),iOS and Android,2024/11/27,"https://vpatj.azurewebsites.net/file/Microsoft_Bing_Search_iOS_Android_iOS_and_Android_VPATJ08430.xlsx"
Microsoft Bluetooth Keyboard,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Bluetooth_Keyboard_Hardware_VPATJ08440.xlsx"
Microsoft Bluetooth® Mouse,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Bluetooth®_Mouse_Hardware_VPATJ08450.xlsx"
Microsoft Bookings (Android client),Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Bookings_Android_client_VPATJ08460.xlsx"
Microsoft Bookings (iOS client),iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Bookings_iOS_client_VPATJ08470.xlsx"
Microsoft Build,Web,2024/07/22,"https://vpatj.azurewebsites.net/file/Microsoft_Build_Web_VPATJ08480.xlsx"
Microsoft build of OpenJDK,"macOS, Linux and Windows",2025/07/15,"https://vpatj.azurewebsites.net/file/Microsoft_build_of_OpenJDK_macOS_Linux_and_Windows_VPATJ08490.xlsx"
Microsoft Call Quality Dashboard,Web,2025/11/14,"https://vpatj.azurewebsites.net/file/Microsoft_Call_Quality_Dashboard_Web_VPATJ08500.xlsx"
Microsoft Classic Intellimouse,NA,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Classic_Intellimouse_NA_VPATJ08510.xlsx"
Microsoft Classroom Pen 2,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Classroom_Pen_2_Hardware_VPATJ08520.xlsx"
Microsoft Cloud App Security - Conditional Access App Control,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_App_Security_-_Conditional_Access_App_Control_Web_VPATJ08530.xlsx"
Microsoft Cloud for Finance,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_for_Finance_Web_VPATJ08540.xlsx"
Microsoft Cloud for Healthcare,Web,2025/10/28,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_for_Healthcare_Web_VPATJ08551.xlsx"
Microsoft Cloud for Retail,"Web, Android, iOS",2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_for_Retail_Web_Android_iOS_VPATJ08560.xlsx"
Microsoft Cloud for Sovereignty SLZ,Azure,2024/10/22,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_for_Sovereignty_SLZ_Azure_VPATJ08570.xlsx"
Microsoft Cloud for Sustainability API,Web,2024/12/20,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_for_Sustainability_API_Web_VPATJ08580.xlsx"
Microsoft Cloud Solution Center,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_Solution_Center_Web_VPATJ08590.xlsx"
Microsoft Cloud Solution Center July2024,Web,2024/09/19,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_Solution_Center_July2024_Web_VPATJ08600.xlsx"
Microsoft Cloud Switcher,Cross-Plat,2026/04/16,"https://vpatj.azurewebsites.net/file/Microsoft_Cloud_Switcher_Cross-Plat_VPATJ08601.xlsx"
Microsoft Community Training,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Community_Training_Web_VPATJ08620.xlsx"
Microsoft Configuration Manager,Win32,2025/11/06,"https://vpatj.azurewebsites.net/file/Microsoft_Configuration_Manager_Win32_VPATJ08630.xlsx"
Microsoft Connected Cache,Azure,2025/10/08,"https://vpatj.azurewebsites.net/file/Microsoft_Connected_Cache_Azure_VPATJ08631.xlsx"
Microsoft Connected Vehicle,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Connected_Vehicle_Azure_VPATJ08640.xlsx"
Microsoft Container Registry,Web,2026/04/09,"https://vpatj.azurewebsites.net/file/Microsoft_Container_Registry_Web_VPATJ08650.xlsx"
Microsoft Copilot for Sales,Web,2026/05/08,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_for_Sales_Web_VPATJ08652.xlsx"
Microsoft Copilot for Sales,Win32,2025/03/26,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_for_Sales_Win32_VPATJ08653.xlsx"
Microsoft Copilot for Sales,Mac,2025/03/26,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_for_Sales_Mac_VPATJ08654.xlsx"
Microsoft Copilot for Sales (Android ),Android,2026/05/08,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_for_Sales_Android__VPATJ08655.xlsx"
Microsoft Copilot for Sales (iOS),iOS,2026/05/08,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_for_Sales_iOS_VPATJ08656.xlsx"
Microsoft Copilot Notebook,Cross-Plat,2026/05/26,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_Notebook_Cross-Plat_VPATJ08657.xlsx"
Microsoft Copilot Notebook Android,Android,2026/06/10,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_Notebook_Android_VPATJ08658.xlsx"
Microsoft Copilot Notebook iOS,iOS,2026/06/10,"https://vpatj.azurewebsites.net/file/Microsoft_Copilot_Notebook_iOS_VPATJ08659.xlsx"
Microsoft Create,Web,2024/10/29,"https://vpatj.azurewebsites.net/file/Microsoft_Create_Web_VPATJ08660.xlsx"
Microsoft Defender,iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_iOS_VPATJ08670.xlsx"
Microsoft Defender,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Android_VPATJ08680.xlsx"
Microsoft Defender Application Guard - Office,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Application_Guard_-_Office_Win32_VPATJ08690.xlsx"
Microsoft Defender ATP,Mac,2025/08/07,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_ATP_Mac_VPATJ08700.xlsx"
Microsoft Defender Consumer,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Consumer_Android_VPATJ08710.xlsx"
Microsoft Defender EASM,Azure,2025/06/25,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_EASM_Azure_VPATJ08720.xlsx"
Microsoft Defender Enterprise,Android,2025/10/22,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Enterprise_Android_VPATJ08730.xlsx"
Microsoft Defender Enterprise,iOS,2025/10/21,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Enterprise_iOS_VPATJ08740.xlsx"
Microsoft Defender Experts for XDR,Web,2025/11/19,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Experts_for_XDR_Web_VPATJ08741.xlsx"
Microsoft Defender for APIs,Azure,2025/10/28,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_APIs_Azure_VPATJ08750.xlsx"
Microsoft Defender for Cloud,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Cloud_Azure_VPATJ08760.xlsx"
Microsoft Defender for Cloud Apps,Web,2025/11/12,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Cloud_Apps_Web_VPATJ08770.xlsx"
Microsoft Defender for Consumer (Gibraltar),Mac,2025/04/15,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Consumer_Gibraltar_Mac_VPATJ08780.xlsx"
Microsoft Defender for Consumer (Gibraltar),Android,2025/06/05,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Consumer_Gibraltar_Android_VPATJ08790.xlsx"
Microsoft Defender for Consumer (Gibraltar),Web,2025/09/29,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Consumer_Gibraltar_Web_VPATJ08810.xlsx"
Microsoft Defender for DevOps,Azure,2025/06/27,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_DevOps_Azure_VPATJ08811.xlsx"
Microsoft Defender for Endpoint,Web,2026/01/13,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Endpoint_Web_VPATJ08812.xlsx"
Microsoft Defender for Endpoint,Win32,2026/03/30,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Endpoint_Win32_VPATJ08813.xlsx"
Microsoft Defender for Consumer (Gibraltar),iOS,2025/06/23,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Consumer_Gibraltar_iOS_VPATJ08820.xlsx"
Microsoft Defender for Endpoint,Mac,2024/08/12,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Endpoint_Mac_VPATJ08830.xlsx"
Microsoft Defender Threat Intelligence,Web,2025/08/05,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_Threat_Intelligence_Web_VPATJ08831.xlsx"
Microsoft Defender for Identity,Web,2025/11/12,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Identity_Web_VPATJ08832.xlsx"
Microsoft Defender for IoT,Web,2025/12/09,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_IoT_Web_VPATJ08833.xlsx"
Microsoft Defender for Home_Health_Settings,Web,2025/11/26,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Home_Health_Settings_Web_VPATJ08834.xlsx"
Microsoft Defender for Office,Web,2025/11/25,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Office_Web_VPATJ08835.xlsx"
Microsoft Defender for Exposure Management,Web,2025/12/14,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_Exposure_Management_Web_VPATJ08836.xlsx"
Microsoft Defender for OneSOC,Web,2025/12/11,"https://vpatj.azurewebsites.net/file/Microsoft_Defender_for_OneSOC_Web_VPATJ08837.xlsx"
Microsoft Design - Fluent Design System,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Design_-_Fluent_Design_System_Web_VPATJ08840.xlsx"
Microsoft Design Website,Web,2025/09/14,"https://vpatj.azurewebsites.net/file/Microsoft_Design_Website_VPATJ08850.xlsx"
Microsoft Designer,Android,2025/07/31,"https://vpatj.azurewebsites.net/file/Microsoft_Designer_Android_VPATJ08860.xlsx"
Microsoft Designer,Web,2025/07/31,"https://vpatj.azurewebsites.net/file/Microsoft_Designer_Web_VPATJ08880.xlsx"
Microsoft Designer Compact Keyboard,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Designer_Compact_Keyboard_Hardware_VPATJ08890.xlsx"
Microsoft Device Ecosystem Platform,Android,2025/10/29,"https://vpatj.azurewebsites.net/file/Microsoft_Device_Ecosystem_Platform_Android_VPATJ08892.xlsx"
Microsoft Dynamics  365 Commerce,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_Commerce_Web_VPATJ08893.xlsx"
Microsoft Dragon Copilot,"Mobile (iOS _ Android), Web, Desktop (Win32)",2026/01/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dragon_Copilot_Mobile_iOS_Android_Web_Desktop_Win32_VPATJ08894.xlsx"
Microsoft Dragon Copilot - Radiologist,Web,2026/04/02,"https://vpatj.azurewebsites.net/file/Microsoft_Dragon_Copilot_-_Radiologist_Web_VPATJ08895.xlsx"
Microsoft Discovery,Web,2026/06/09,"https://vpatj.azurewebsites.net/file/Microsoft_Discovery_Web_VPATJ08896.xlsx"
Microsoft Dynamics 365 Customer Engagement,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_Customer_Engagement_Web_VPATJ08910.xlsx"
Microsoft Dynamics 365 for Talent - Attract,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_for_Talent_-_Attract_Web_VPATJ08920.xlsx"
Microsoft Dynamics 365 for Talent - Core HR,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_for_Talent_-_Core_HR_Web_VPATJ08930.xlsx"
Microsoft Dynamics 365 Guides,Universal,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_Guides_Universal_VPATJ08940.xlsx"
Microsoft Dynamics 365 Portal,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_Portal_Azure_VPATJ08950.xlsx"
Microsoft Dynamics 365 Remote Assist,HoloLens,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_365_Remote_Assist_HoloLens_VPATJ08960.xlsx"
Microsoft Dynamics CRM 2016 Update 1,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_CRM_2016_Update_1_Azure_VPATJ08970.xlsx"
Microsoft Dynamics Lifecycle Services,Web,2026/01/29,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_Lifecycle_Services_Web_VPATJ08980.xlsx"
Microsoft Dynamics NAV 2017,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Dynamics_NAV_2017_Web_VPATJ08990.xlsx"
Microsoft Edge (Android),Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_Android_VPATJ09000.xlsx"
Microsoft Edge (Chromium) for Linux,Linux,2025/10/23,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_Chromium_for_Linux_VPATJ09010.xlsx"
Microsoft Edge (Chromium) for Mac,Mac,2025/10/23,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_Chromium_for_Mac_VPATJ09020.xlsx"
Microsoft Edge (Chromium) for Windows,Win32,2025/08/29,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_Chromium_for_Windows_Win32_VPATJ09030.xlsx"
Microsoft Edge (iOS),iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_iOS_VPATJ09040.xlsx"
Microsoft Edge (Odin) for Xbox One,Xbox,2025/02/25,"https://vpatj.azurewebsites.net/file/Microsoft_Edge_Odin_for_Xbox_One_VPATJ09041.xlsx"
Microsoft Emissions Impact Dashboard,Web,2025/06/27,"https://vpatj.azurewebsites.net/file/Microsoft_Emissions_Impact_Dashboard_Web_VPATJ09060.xlsx"
Microsoft Endpoint Configuration Manager (2207),x64,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Endpoint_Configuration_Manager_2207_x64_VPATJ09070.xlsx"
Microsoft Endpoint DLP Native Client,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Endpoint_DLP_Native_Client_Win32_VPATJ09080.xlsx"
Microsoft Entra Access Reviews,"Web, Ibiza",2025/08/08,"https://vpatj.azurewebsites.net/file/Microsoft_Entra_Access_Reviews_Web_Ibiza_VPATJ09081.xlsx"
Microsoft Enterprise Translator app,iOS,2026/01/31,"https://vpatj.azurewebsites.net/file/Microsoft_Enterprise_Translator_app_iOS_VPATJ09082.xlsx"
Microsoft Enterprise Translator app,Android,2026/01/31,"https://vpatj.azurewebsites.net/file/Microsoft_Enterprise_Translator_app_Android_VPATJ09083.xlsx"
Microsoft Entra Connect health,Azure,2024/10/28,"https://vpatj.azurewebsites.net/file/Microsoft_Entra_Connect_health_Azure_VPATJ09091.xlsx"
Microsoft Entra Entitlement Management,"Azure, Web",2025/10/14,"https://vpatj.azurewebsites.net/file/Microsoft_Entra_Entitlement_Management_Azure_Web_VPATJ09110.xlsx"
Microsoft Entra External ID extension for VS Code,Win32,2024/09/06,"https://vpatj.azurewebsites.net/file/Microsoft_Entra_External_ID_extension_for_VS_Code_Win32_VPATJ09120.xlsx"
Microsoft Entra terms of use,"Azure, Win32, iOS, Android",2025/10/25,"https://vpatj.azurewebsites.net/file/Microsoft_Entra_terms_of_use_Azure_Win32_iOS_Android_VPATJ09121.xlsx"
Microsoft Ergonomic keyboard,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Ergonomic_keyboard_Hardware_VPATJ09130.xlsx"
Microsoft Ergonomic Mouse,Hardware,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Ergonomic_Mouse_Hardware_VPATJ09140.xlsx"
Microsoft Family Safety,Android,2025/09/23,"https://vpatj.azurewebsites.net/file/Microsoft_Family_Safety_Android_VPATJ09150.xlsx"
Microsoft Family Safety,iOS,2025/09/23,"https://vpatj.azurewebsites.net/file/Microsoft_Family_Safety_iOS_VPATJ09160.xlsx"
Microsoft Feed in Microsoft 365,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Feed_in_Microsoft_365_Web_VPATJ09180.xlsx"
Microsoft Feedback Portal,Web,2025/10/30,"https://vpatj.azurewebsites.net/file/Microsoft_Feedback_Portal_Web_VPATJ09190.xlsx"
Microsoft Flight Simulator 2024,"Microsoft Store, Steam, Xbox Series X, Xbox Series S",2024/11/25,"https://vpatj.azurewebsites.net/file/Microsoft_Flight_Simulator_2024_Microsoft_Store_Steam_Xbox_Series_X_Xbox_Series_S_VPATJ09191.xlsx"
Microsoft Flow for Android,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Flow_for_Android_VPATJ09200.xlsx"
Microsoft Flow for iOS,iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Flow_for_iOS_VPATJ09210.xlsx"
Microsoft for Startups Founders Hub,Web,2025/10/21,"https://vpatj.azurewebsites.net/file/Microsoft_for_Startups_Founders_Hub_Web_VPATJ09220.xlsx"
Microsoft for Startups website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_for_Startups_website_VPATJ09230.xlsx"
Microsoft Forms,Web,2025/11/25,"https://vpatj.azurewebsites.net/file/Microsoft_Forms_Web_VPATJ09240.xlsx"
Microsoft Forms Pro,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Forms_Pro_Web_VPATJ09250.xlsx"
Microsoft Forms Pro Customer Voice,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Forms_Pro_Customer_Voice_Web_VPATJ09260.xlsx"
Microsoft Foundry,Web,2026/03/10,"https://vpatj.azurewebsites.net/file/Microsoft_Foundry_Web_VPATJ09262.xlsx"
Microsoft Game Configuration Editor,PC (Windows),2026/04/17,"https://vpatj.azurewebsites.net/file/Microsoft_Game_Configuration_Editor_PC_Windows_VPATJ09263.xlsx"
Microsoft Genomics Malibu,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Genomics_Malibu_Azure_VPATJ09270.xlsx"
Microsoft Graph Toolkit,GitHub Page,2025/09/03,"https://vpatj.azurewebsites.net/file/Microsoft_Graph_Toolkit_GitHub_Page_VPATJ09280.xlsx"
Microsoft Health Agent - HealthBot,Web,2025/09/28,"https://vpatj.azurewebsites.net/file/Microsoft_Health_Agent_-_HealthBot_Web_VPATJ09281.xlsx"
Microsoft Hardware Support (Benatar),M365 (Microsoft Admin Center),2026/03/30,"https://vpatj.azurewebsites.net/file/Microsoft_Hardware_Support_Benatar_M365_Microsoft_Admin_Center_VPATJ09283.xlsx"
Microsoft Ignite,Web,2024/07/23,"https://vpatj.azurewebsites.net/file/Microsoft_Ignite_Web_VPATJ09310.xlsx"
Microsoft Imagine Academy (MSIA) Member site_Primary,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Imagine_Academy_MSIA_Member_site_Primary_Web_VPATJ09320.xlsx"
Microsoft Imagine Academy Membersite,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Imagine_Academy_Membersite_Web_VPATJ09330.xlsx"
Microsoft Imagine Academy Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Imagine_Academy_Website_VPATJ09340.xlsx"
Microsoft Intune,Android,2026/06/02,"https://vpatj.azurewebsites.net/file/Microsoft_Intune_Android_VPATJ09350.xlsx"
Microsoft Intune for AOSP,Android,2025/09/09,"https://vpatj.azurewebsites.net/file/Microsoft_Intune_for_AOSP_Android_VPATJ09370.xlsx"
Microsoft Kaizala Management Portal,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Microsoft_Kaizala_Management_Portal_Web_VPATJ09380.xlsx"
